#{"t_start": 1786944323.344372, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
240.0,3521,534.832718
85.0,1965,539.988808
310.0,2933,547.724319
600.0,5281,561.556714
370.0,3139,569.659002
320.0,3183,577.869088
450.0,4227,589.063202
180.0,1973,594.296817
390.0,2733,601.618988
270.0,2611,610.930986
255.0,2583,618.355325
120.0,1835,623.72216
65.0,1057,626.780192
195.0,2703,635.708801
585.0,4597,660.657754
105.0,1913,668.008246
425.0,3251,684.41055
275.0,2569,702.327113
150.0,1885,709.487586
250.0,2151,718.316922
420.0,2685,728.81928
175.0,1857,736.021682
260.0,2265,744.46591
295.0,3225,756.615305
175.0,2003,764.08041
485.0,3643,777.443086
235.0,2505,785.235419
145.0,2293,792.302281
365.0,3935,803.836348
165.0,1899,810.122045
380.0,2949,819.034902
555.0,3235,829.82776
75.0,1631,834.950569
325.0,3231,844.495906
305.0,3497,855.498657
105.0,1597,860.060187
250.0,2487,867.33606
15.0,1009,870.121157
155.0,2025,876.875019
395.0,3039,885.937346
185.0,2409,892.96733
275.0,3183,902.128074
135.0,1877,912.239193
175.0,2375,920.885271
180.0,1863,927.172538
210.0,2519,934.643071
105.0,1299,938.20593
170.0,1893,943.486068
170.0,2225,950.192898
230.0,2005,956.012407
210.0,1833,961.085356
185.0,2067,970.174531
360.0,2759,978.479664
150.0,1993,984.291142
335.0,2941,992.719077
235.0,1881,997.852641
105.0,1521,1005.851355
240.0,2149,1016.332553
110.0,2735,1025.480279
270.0,3375,1035.27849
135.0,2785,1042.982402
270.0,2151,1048.846273
195.0,2031,1054.308756
165.0,1681,1058.712409
335.0,3213,1067.265354
220.0,2509,1074.108436
120.0,1719,1078.781488
125.0,2487,1085.334475
280.0,2713,1092.474881
90.0,1135,1095.45562
160.0,1889,1100.506396
335.0,3671,1110.28864
315.0,2893,1117.88801
165.0,1889,1122.795737
185.0,2175,1128.765183
265.0,2495,1135.943775
240.0,3354,1145.730368
150.0,1935,1153.636
230.0,1843,1162.072372
380.0,2867,1170.749982
195.0,2007,1176.936411
285.0,2789,1185.65917
165.0,2019,1191.510427
230.0,2405,1199.982727
305.0,2159,1208.578538
240.0,2245,1219.023215
490.0,3861,1234.387388
