#{"t_start": 1786944323.344372, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
540.0,3806,8973.353472
545.0,3849,8991.066224
485.0,3649,9008.92503
310.0,2537,9019.83284
265.0,2089,9030.313994
480.0,3557,9049.594896
525.0,4149,9071.99272
1005.0,3813,9093.406282
875.0,4829,9114.167948
575.0,3909,9129.262337
810.0,5955,9151.478809
570.0,4349,9170.840025
575.0,4285,9187.394308
600.0,3825,9203.540477
475.0,3603,9220.957911
570.0,3923,9236.8765
515.0,3521,9251.109276
570.0,2817,9262.976798
385.0,2463,9272.812009
550.0,3066,9284.585673
545.0,3462,9300.374897
515.0,3651,9319.78711
545.0,4451,9350.315205
555.0,4266,9372.930991
655.0,3307,9389.127661
775.0,4357,9408.532091
600.0,4389,9431.294598
510.0,4643,9456.000729
800.0,4279,9475.639028
600.0,4953,9500.89786
680.0,3281,9524.398077
590.0,2637,9542.211625
515.0,3729,9558.873595
555.0,4045,9584.505256
450.0,3585,9601.645591
855.0,6101,9625.107963
370.0,2771,9635.454271
425.0,3803,9649.295642
645.0,4295,9668.406006
310.0,3351,9680.039064
725.0,3685,9693.123223
125.0,2135,9700.348212
525.0,3591,9713.214419
145.0,1929,9719.710649
330.0,2497,9728.042853
715.0,3805,9741.32426
440.0,2387,9749.930825
840.0,3537,9762.158253
555.0,3201,9773.845188
565.0,3969,9787.452158
960.0,6901,9811.865453
545.0,4321,9826.483328
915.0,6117,9848.168063
570.0,4139,9865.653567
575.0,4513,9888.835983
485.0,3505,9907.565612
960.0,7461,9947.714566
985.0,6014,9977.561444
525.0,3814,10002.699327
585.0,4771,10030.334352
515.0,3281,10044.98252
725.0,3349,10058.705404
485.0,3105,10071.82733
600.0,4175,10088.616373
655.0,3601,10102.558132
1580.0,9624,10141.121096
745.0,3676,10155.685662
1495.0,7839,10186.453765
1320.0,8101,10218.473029
1000.0,4097,10234.697825
725.0,4528,10256.889505
600.0,4793,10276.808183
310.0,2245,10285.654808
635.0,6175,10311.945986
545.0,3287,10325.118673
515.0,4001,10342.645787
575.0,4191,10360.272296
1200.0,9383,10402.683617
830.0,4395,10421.812243
540.0,3365,10443.224303
780.0,4483,10462.072063
520.0,3579,10477.538192
670.0,3887,10495.191871
800.0,4025,10512.635895
680.0,4961,10534.217246
585.0,4382,10552.807959
915.0,6231,10580.558112
285.0,2943,10593.785693
395.0,2771,10606.047429
825.0,5477,10634.663408
220.0,2531,10646.795712
735.0,4845,10668.561643
600.0,3633,10684.925387
745.0,3466,10701.057441
570.0,4158,10725.32725
470.0,3173,10748.726828
445.0,3234,10763.60909
1080.0,5761,10788.479674
800.0,4449,10806.858327
600.0,5171,10827.496459
1155.0,5755,10850.306594
800.0,3545,10863.699883
600.0,4341,10880.898382
1200.0,6845,10913.350795
515.0,3830,10928.01328
280.0,2805,10939.039882
600.0,4463,10958.718723
570.0,3834,10973.341885
500.0,3777,10987.546467
470.0,3485,11000.331221
775.0,4161,11015.749912
570.0,2683,11025.632994
545.0,3408,11038.853175
740.0,3863,11051.88082
675.0,5199,11070.569097
440.0,3781,11085.785563
800.0,5047,11103.884638
695.0,4329,11119.700717
750.0,4263,11135.38556
770.0,4429,11151.075013
600.0,4411,11167.018459
545.0,3611,11179.945805
695.0,3489,11193.55391
485.0,2881,11203.759709
600.0,4311,11219.258259
775.0,3775,11233.358938
385.0,3261,11245.028929
445.0,3741,11258.332874
1265.0,8911,11293.975264
600.0,3109,11304.425605
525.0,3851,11318.680849
580.0,4163,11332.528602
755.0,4048,11346.543541
575.0,4439,11361.362876
545.0,4773,11377.610418
515.0,4007,11391.537258
465.0,3565,11403.540698
805.0,4379,11419.329422
800.0,3611,11431.610908
800.0,3849,11445.66097
1205.0,7687,11474.184768
520.0,3137,11486.671166
775.0,3998,11501.609124
605.0,4625,11520.320974
600.0,4045,11534.36651
745.0,3935,11549.768942
675.0,3633,11562.460618
570.0,3550,11575.33645
600.0,3767,11588.140518
605.0,5147,11606.228599
600.0,4029,11620.716383
475.0,3299,11639.837508
580.0,3372,11653.078182
465.0,3793,11667.147817
575.0,3425,11679.506878
500.0,4243,11694.878563
570.0,3280,11707.756474
545.0,3535,11720.235195
670.0,3144,11731.47729
320.0,3063,11745.112498
800.0,3761,11758.293918
515.0,4517,11777.697831
550.0,4113,11792.323978
570.0,4991,11810.40401
540.0,3273,11822.464934
600.0,4169,11837.192984
575.0,4048,11851.92632
995.0,6985,11876.381501
800.0,4069,11889.946013
365.0,3143,11900.571457
530.0,3857,11914.01535
1150.0,6155,11939.882902
525.0,4086,11954.242719
525.0,3741,11969.765128
815.0,5679,11990.464056
370.0,3085,12001.700972
550.0,3461,12020.306363
1400.0,8225,12052.259296
410.0,3181,12063.715006
540.0,3081,12076.554495
775.0,4206,12094.247981
570.0,4308,12112.878388
745.0,3792,12127.422687
530.0,3907,12142.556579
660.0,4209,12161.996138
530.0,3476,12176.419618
265.0,2915,12187.940569
500.0,3931,12202.065084
515.0,3609,12214.71909
545.0,3835,12228.770923
180.0,2495,12238.093263
805.0,4443,12255.08368
570.0,3635,12269.414919
800.0,4185,12284.403449
575.0,4045,12298.973595
495.0,3819,12312.487563
525.0,3605,12326.361121
515.0,3764,12339.383319
880.0,3133,12351.355459
745.0,3695,12366.085631
540.0,3720,12380.348097
600.0,4329,12397.074028
605.0,4057,12416.88693
740.0,4011,12430.533584
505.0,3543,12444.251488
365.0,3051,12454.485501
550.0,3563,12467.314393
715.0,4149,12481.817336
540.0,3961,12496.406578
760.0,4243,12509.536604
600.0,4049,12523.005266
755.0,4308,12538.447026
570.0,3545,12550.368505
550.0,5166,12568.912266
495.0,3657,12580.486591
545.0,3869,12592.547867
570.0,5655,12609.097978
600.0,4041,12621.060175
450.0,3809,12631.716405
520.0,3733,12642.326331
750.0,4538,12655.671945
520.0,3612,12666.027195
800.0,3857,12676.970243
645.0,3995,12688.934056
630.0,4815,12702.818327
600.0,3991,12714.233768
800.0,4457,12726.756248
570.0,4007,12742.86412
575.0,2889,12751.062478
515.0,4192,12762.935475
325.0,2583,12770.305955
645.0,3239,12779.201363
600.0,4417,12791.546059
460.0,5179,12806.279476
495.0,3907,12817.216743
600.0,3081,12826.039821
715.0,3606,12835.980459
570.0,4381,12848.017345
460.0,3585,12858.365551
310.0,2813,12866.211871
805.0,3381,12875.594348
505.0,4313,12889.054491
460.0,3729,12904.182024
775.0,4554,12919.657849
770.0,3250,12929.644138
490.0,4513,12945.475367
570.0,3446,12960.184753
725.0,4398,12977.019031
540.0,3718,12989.437607
715.0,3781,13002.841287
605.0,4685,13021.378325
800.0,4661,13039.369784
425.0,3394,13049.260067
735.0,5311,13073.030934
755.0,4887,13088.118199
620.0,3437,13098.124069
750.0,3337,13107.61914
495.0,3765,13120.476678
670.0,3537,13129.514602
600.0,4889,13144.305857
545.0,3461,13153.691461
830.0,4533,13166.863297
575.0,4412,13181.462701
330.0,2675,13189.069607
545.0,4065,13203.162403
755.0,3593,13215.118574
490.0,3549,13226.038686
545.0,4063,13238.620413
230.0,3069,13247.713127
600.0,4409,13262.26194
355.0,2392,13269.39265
600.0,4119,13282.099717
515.0,3179,13291.423277
550.0,3514,13301.774085
605.0,3741,13312.869675
770.0,4729,13326.854161
580.0,4212,13338.966865
395.0,3335,13348.641838
485.0,3763,13359.734574
440.0,4247,13372.424637
